match,group,date_utc,location,home,away,xg_home,xg_away,p_home,p_draw,p_away,score_pred,top_scores,played,real,ajustada
52,Group B,2026-06-24 19:00:00+00:00,Seattle Stadium,Bosnia and Herzegovina,Qatar,1.49,1.04,0.4689,0.2733,0.2577,1-1,1-1 (13.0%); 1-0 (11.3%); 2-1 (9.2%),False,,False
53,Group A,2026-06-25 01:00:00+00:00,Mexico City Stadium,Czech Republic,Mexico,0.96,1.54,0.2297,0.2696,0.5007,1-1,1-1 (12.8%); 0-1 (12.1%); 0-2 (9.8%),False,,False
54,Group A,2026-06-25 01:00:00+00:00,Monterrey Stadium,South Africa,South Korea,0.8,1.42,0.2048,0.2843,0.5109,0-1,0-1 (14.8%); 1-1 (12.9%); 0-0 (11.5%),False,,False
55,Group E,2026-06-25 20:00:00+00:00,Philadelphia Stadium,Curaçao,Ivory Coast,0.47,1.85,0.0828,0.2143,0.7029,0-1,0-1 (17.8%); 0-2 (16.8%); 0-3 (10.4%),False,,False
56,Group E,2026-06-25 20:00:00+00:00,New York/New Jersey Stadium,Ecuador,Germany,0.85,1.01,0.291,0.3348,0.3742,0-0,0-0 (16.3%); 0-1 (15.0%); 1-1 (14.1%),False,,False
57,Group F,2026-06-25 23:00:00+00:00,Dallas Stadium,Japan,Sweden,1.64,0.98,0.5193,0.2592,0.2215,1-1,1-1 (12.3%); 1-0 (11.3%); 2-0 (9.8%),False,,False
58,Group F,2026-06-25 23:00:00+00:00,Kansas City Stadium,Tunisia,Netherlands,0.67,1.7,0.1393,0.2462,0.6145,0-1,0-1 (15.3%); 0-2 (13.5%); 1-1 (11.2%),False,,False
59,Group D,2026-06-26 02:00:00+00:00,Los Angeles Stadium,Turkey,United States,1.61,1.51,0.3977,0.2488,0.3535,1-1,1-1 (11.3%); 2-1 (8.6%); 1-2 (8.1%),False,,False
60,Group D,2026-06-26 02:00:00+00:00,San Francisco Bay Area Stadium,Paraguay,Australia,0.81,1.0,0.2804,0.3395,0.3801,0-0,0-0 (17.1%); 0-1 (15.7%); 1-1 (13.9%),False,,False
61,Group I,2026-06-26 19:00:00+00:00,Boston Stadium,Norway,France,1.13,1.54,0.274,0.2668,0.4592,1-1,1-1 (12.7%); 0-1 (10.1%); 1-2 (9.3%),False,,False
62,Group I,2026-06-26 19:00:00+00:00,Toronto Stadium,Senegal,Iraq,1.4,0.57,0.5656,0.2879,0.1465,1-0,1-0 (19.0%); 0-0 (14.6%); 2-0 (13.7%),False,,False
63,Group G,2026-06-27 03:00:00+00:00,Seattle Stadium,Egypt,Iran,0.84,1.05,0.279,0.3298,0.3912,0-0,0-0 (15.7%); 0-1 (15.1%); 1-1 (14.0%),False,,False
64,Group G,2026-06-27 03:00:00+00:00,BC Place Vancouver,New Zealand,Belgium,0.44,2.14,0.0614,0.1753,0.7633,0-2,0-2 (17.3%); 0-1 (15.8%); 0-3 (12.3%),False,,False
65,Group H,2026-06-27 00:00:00+00:00,Houston Stadium,Cape Verde,Saudi Arabia,0.83,0.97,0.2911,0.3416,0.3674,0-0,0-0 (17.3%); 0-1 (15.4%); 1-1 (14.0%),False,,False
66,Group H,2026-06-27 00:00:00+00:00,Guadalajara Stadium,Uruguay,Spain,0.69,1.34,0.187,0.2973,0.5157,0-1,0-1 (17.0%); 0-0 (13.8%); 1-1 (12.8%),False,,False
67,Group L,2026-06-27 21:00:00+00:00,New York/New Jersey Stadium,Panama,England,0.43,2.64,0.0389,0.1231,0.8381,0-2,0-2 (16.2%); 0-3 (14.2%); 0-1 (12.0%),False,,False
68,Group L,2026-06-27 21:00:00+00:00,Philadelphia Stadium,Croatia,Ghana,1.89,0.63,0.667,0.22,0.113,1-0,1-0 (14.7%); 2-0 (14.3%); 1-1 (10.1%),False,,False
69,Group J,2026-06-28 02:00:00+00:00,Kansas City Stadium,Algeria,Austria,1.06,1.26,0.3034,0.2939,0.4028,1-1,1-1 (13.8%); 0-1 (11.7%); 0-0 (10.5%),False,,False
70,Group J,2026-06-28 02:00:00+00:00,Dallas Stadium,Jordan,Argentina,0.42,2.44,0.0443,0.1399,0.8158,0-2,0-2 (17.1%); 0-3 (13.9%); 0-1 (13.7%),False,,False
71,Group K,2026-06-27 23:30:00+00:00,Miami Stadium,Colombia,Portugal,1.16,1.36,0.313,0.28,0.407,1-1,1-1 (13.3%); 0-1 (10.2%); 1-2 (8.6%),False,,False
72,Group K,2026-06-27 23:30:00+00:00,Atlanta Stadium,DR Congo,Uzbekistan,0.67,0.72,0.2868,0.3962,0.3171,0-0,0-0 (25.5%); 0-1 (17.3%); 1-0 (16.1%),False,,False
